Price,Location
7.5,Jaipur
19.0,Hyderabad
54.0,Hyderabad
4.7,Kochi
8.5,Hyderabad
17.0,Kolkata
3.51,Kochi
19.5,Bangalore
17.0,Pune
43.35,Coimbatore
2.65,Bangalore
3.52,Kochi
6.25,Kolkata
24.75,Ahmedabad
5.25,Mumbai
11.0,Jaipur
9.1,Kochi
3.25,Chennai
8.5,Pune
3.1,Pune
19.86,Kochi
4.9,Kolkata
5.7,Delhi
1.75,Chennai
2.9,Kolkata
7.83,Coimbatore
8.15,Kochi
2.0,Bangalore
6.25,Hyderabad
3.4,Bangalore
3.19,Coimbatore
7.75,Ahmedabad
3.2,Delhi
4.9,Delhi
3.8,Kochi
4.0,Chennai
23.5,Hyderabad
1.15,Chennai
2.2,Hyderabad
26.5,Mumbai
10.65,Bangalore
35.68,Coimbatore
31.94,Kochi
4.2,Chennai
9.9,Ahmedabad
15.46,Kochi
8.46,Kochi
3.25,Kolkata
2.6,Hyderabad
5.2,Coimbatore
1.8,Pune
1.6,Chennai
2.5,Kolkata
2.5,Jaipur
6.7,Coimbatore
1.2,Hyderabad
35.55,Coimbatore
7.75,Jaipur
1.94,Chennai
2.2,Hyderabad
3.8,Ahmedabad
15.65,Chennai
39.47,Coimbatore
1.5,Kolkata
8.85,Ahmedabad
17.9,Bangalore
5.08,Coimbatore
6.25,Bangalore
22.75,Bangalore
1.46,Kolkata
2.05,Pune
4.08,Coimbatore
4.55,Hyderabad
14.0,Mumbai
10.9,Ahmedabad
2.45,Bangalore
15.8,Delhi
8.25,Mumbai
8.5,Delhi
15.54,Coimbatore
2.35,Hyderabad
4.32,Coimbatore
3.9,Jaipur
5.2,Hyderabad
5.85,Mumbai
6.25,Bangalore
17.63,Coimbatore
9.75,Mumbai
55.0,Bangalore
4.1,Hyderabad
11.99,Hyderabad
13.54,Kochi
56.0,Mumbai
6.5,Chennai
4.75,Pune
5.6,Hyderabad
29.2,Coimbatore
6.35,Kolkata
4.95,Mumbai
8.5,Hyderabad
4.5,Kolkata
5.5,Chennai
6.56,Kochi
2.3,Pune
3.5,Pune
4.55,Kochi
7.75,Bangalore
5.25,Mumbai
23.29,Coimbatore
23.99,Mumbai
1.79,Pune
13.9,Mumbai
18.95,Kolkata
2.49,Kolkata
3.15,Jaipur
6.45,Mumbai
4.25,Ahmedabad
2.75,Hyderabad
7.14,Kochi
2.44,Mumbai
3.5,Jaipur
7.3,Chennai
2.75,Kolkata
8.2,Bangalore
6.51,Mumbai
4.25,Pune
6.21,Coimbatore
4.58,Kochi
7.5,Chennai
2.1,Delhi
4.09,Coimbatore
10.75,Mumbai
41.5,Mumbai
4.4,Hyderabad
6.25,Jaipur
10.5,Pune
7.25,Mumbai
3.2,Hyderabad
3.95,Mumbai
12.07,Coimbatore
18.6,Pune
5.7,Delhi
1.75,Kolkata
10.99,Delhi
14.5,Kolkata
3.11,Jaipur
13.96,Coimbatore
7.11,Coimbatore
6.9,Chennai
7.77,Coimbatore
5.5,Kolkata
5.35,Hyderabad
4.5,Chennai
4.75,Jaipur
32.8,Coimbatore
0.7,Mumbai
50.29,Coimbatore
10.99,Mumbai
5.57,Coimbatore
5.9,Jaipur
9.43,Coimbatore
2.9,Bangalore
3.68,Delhi
21.67,Coimbatore
12.5,Ahmedabad
19.92,Kochi
6.75,Jaipur
6.96,Kochi
3.25,Jaipur
8.65,Hyderabad
5.0,Pune
5.5,Delhi
2.6,Jaipur
3.41,Kochi
2.7,Kolkata
5.5,Chennai
35.0,Kolkata
9.75,Mumbai
4.25,Mumbai
3.2,Ahmedabad
6.85,Bangalore
4.5,Delhi
3.55,Delhi
1.9,Hyderabad
3.6,Hyderabad
21.8,Kochi
13.5,Mumbai
2.66,Bangalore
3.75,Delhi
32.0,Pune
8.07,Coimbatore
5.64,Kochi
23.99,Hyderabad
7.5,Coimbatore
27.0,Jaipur
2.85,Mumbai
6.35,Pune
3.3,Hyderabad
5.0,Bangalore
6.46,Coimbatore
3.75,Jaipur
1.52,Kochi
3.61,Coimbatore
43.74,Coimbatore
20.0,Chennai
3.0,Pune
3.65,Hyderabad
5.25,Mumbai
58.0,Hyderabad
8.65,Mumbai
2.5,Delhi
7.75,Chennai
4.15,Bangalore
10.85,Delhi
5.53,Delhi
11.5,Pune
40.0,Hyderabad
9.25,Kolkata
2.29,Pune
7.0,Chennai
1.65,Bangalore
8.25,Ahmedabad
9.14,Kochi
6.5,Hyderabad
2.95,Kolkata
5.75,Jaipur
2.85,Hyderabad
2.1,Kolkata
13.55,Coimbatore
20.5,Kolkata
20.0,Mumbai
59.72,Kochi
6.5,Kolkata
7.5,Ahmedabad
2.15,Jaipur
8.44,Coimbatore
12.49,Bangalore
5.48,Pune
4.2,Hyderabad
7.2,Hyderabad
4.8,Jaipur
5.83,Kochi
18.39,Coimbatore
5.85,Pune
6.21,Mumbai
3.65,Delhi
3.7,Delhi
30.0,Pune
4.85,Kochi
6.93,Coimbatore
2.6,Kolkata
1.89,Kolkata
39.5,Mumbai
10.0,Mumbai
9.95,Kolkata
9.45,Mumbai
28.25,Coimbatore
1.8,Jaipur
1.4,Kolkata
7.25,Ahmedabad
3.6,Hyderabad
1.2,Jaipur
4.94,Coimbatore
1.25,Delhi
4.8,Chennai
31.15,Kochi
3.3,Pune
2.4,Bangalore
2.0,Kolkata
3.1,Pune
5.09,Kochi
1.05,Pune
7.0,Bangalore
2.5,Ahmedabad
17.5,Mumbai
2.1,Chennai
17.75,Bangalore
1.45,Mumbai
2.45,Bangalore
13.8,Pune
5.85,Kolkata
8.9,Delhi
5.15,Mumbai
16.56,Kochi
1.65,Chennai
16.0,Pune
1.45,Pune
8.08,Coimbatore
4.5,Pune
4.3,Chennai
2.6,Hyderabad
4.45,Hyderabad
5.37,Coimbatore
1.75,Chennai
16.5,Kolkata
19.0,Delhi
2.8,Jaipur
6.2,Hyderabad
3.8,Kochi
6.1,Hyderabad
11.65,Coimbatore
4.15,Mumbai
16.5,Chennai
4.3,Bangalore
2.25,Kolkata
6.75,Ahmedabad
9.4,Chennai
5.39,Coimbatore
8.51,Kochi
1.85,Pune
2.5,Kolkata
4.75,Chennai
3.5,Pune
5.5,Bangalore
6.33,Coimbatore
2.47,Kochi
3.3,Kochi
3.5,Delhi
38.75,Delhi
7.99,Pune
13.28,Kochi
9.5,Pune
14.01,Kochi
6.99,Coimbatore
11.0,Hyderabad
11.0,Hyderabad
2.3,Pune
26.5,Delhi
67.0,Bangalore
17.75,Mumbai
4.8,Delhi
4.57,Coimbatore
3.5,Chennai
7.61,Kochi
25.0,Hyderabad
5.88,Coimbatore
13.5,Hyderabad
4.6,Kolkata
4.9,Kolkata
5.25,Hyderabad
12.41,Coimbatore
3.8,Kolkata
8.95,Mumbai
7.2,Hyderabad
4.5,Hyderabad
4.15,Delhi
7.94,Coimbatore
7.25,Pune
3.7,Delhi
2.45,Hyderabad
1.5,Chennai
12.0,Delhi
2.2,Delhi
3.6,Hyderabad
1.92,Kolkata
20.5,Bangalore
4.25,Jaipur
3.2,Kolkata
2.6,Pune
3.85,Kolkata
3.48,Kochi
4.55,Hyderabad
7.0,Pune
5.75,Ahmedabad
8.73,Kochi
1.7,Hyderabad
29.5,Hyderabad
10.49,Kochi
64.0,Kolkata
7.55,Pune
3.95,Mumbai
3.25,Bangalore
2.75,Mumbai
7.35,Kolkata
4.7,Ahmedabad
8.77,Kochi
3.42,Kochi
2.5,Kolkata
20.0,Kolkata
5.25,Mumbai
14.5,Delhi
3.45,Mumbai
3.3,Pune
51.0,Bangalore
6.5,Kolkata
3.65,Hyderabad
7.25,Chennai
6.01,Kochi
2.8,Kolkata
4.0,Chennai
5.95,Delhi
9.2,Chennai
5.35,Pune
12.0,Delhi
38.94,Coimbatore
2.69,Coimbatore
27.5,Bangalore
2.75,Kolkata
2.8,Mumbai
6.45,Mumbai
5.88,Coimbatore
4.65,Pune
2.5,Jaipur
51.35,Kochi
6.85,Hyderabad
5.25,Chennai
9.23,Coimbatore
22.0,Ahmedabad
5.19,Hyderabad
4.35,Pune
24.5,Hyderabad
5.75,Pune
9.19,Kochi
10.75,Pune
2.99,Bangalore
3.89,Kolkata
11.73,Coimbatore
3.11,Coimbatore
14.45,Jaipur
8.7,Ahmedabad
5.04,Kochi
8.5,Jaipur
15.65,Delhi
5.65,Mumbai
16.5,Bangalore
2.0,Ahmedabad
3.9,Pune
14.5,Jaipur
44.0,Bangalore
5.0,Delhi
19.75,Hyderabad
11.44,Coimbatore
1.75,Chennai
5.6,Bangalore
30.42,Kochi
9.57,Coimbatore
3.5,Mumbai
10.46,Coimbatore
4.85,Pune
5.68,Kochi
13.25,Mumbai
16.0,Bangalore
3.0,Chennai
0.99,Kolkata
5.0,Mumbai
4.75,Delhi
5.35,Bangalore
5.98,Hyderabad
3.5,Chennai
4.77,Kochi
5.45,Delhi
6.85,Ahmedabad
7.3,Jaipur
1.25,Pune
8.25,Chennai
2.71,Ahmedabad
3.6,Kolkata
3.0,Ahmedabad
4.65,Hyderabad
9.5,Mumbai
2.95,Mumbai
3.0,Mumbai
5.95,Hyderabad
4.0,Delhi
2.5,Delhi
11.37,Kolkata
2.25,Pune
3.1,Jaipur
17.18,Kochi
6.5,Jaipur
5.7,Ahmedabad
8.0,Ahmedabad
2.6,Chennai
2.45,Hyderabad
11.57,Kochi
2.3,Kolkata
5.9,Jaipur
7.2,Mumbai
5.9,Ahmedabad
6.0,Chennai
1.95,Kolkata
6.55,Coimbatore
25.0,Hyderabad
2.65,Kolkata
69.5,Mumbai
14.0,Chennai
2.1,Pune
20.4,Hyderabad
5.68,Hyderabad
5.55,Mumbai
12.75,Mumbai
3.35,Mumbai
1.55,Kolkata
5.9,Coimbatore
18.98,Hyderabad
11.51,Mumbai
7.75,Mumbai
13.9,Chennai
1.35,Kolkata
38.0,Mumbai
11.6,Mumbai
12.25,Hyderabad
3.8,Jaipur
3.25,Mumbai
6.4,Mumbai
3.95,Bangalore
3.57,Delhi
1.25,Mumbai
3.65,Pune
12.5,Kolkata
23.0,Ahmedabad
1.35,Chennai
6.32,Coimbatore
3.4,Kolkata
0.77,Jaipur
0.9,Jaipur
18.0,Delhi
19.0,Pune
1.1,Chennai
2.0,Pune
6.5,Ahmedabad
9.45,Bangalore
4.0,Mumbai
32.25,Kochi
2.1,Pune
9.75,Mumbai
6.3,Kolkata
21.0,Hyderabad
4.65,Mumbai
17.0,Mumbai
4.35,Pune
14.82,Coimbatore
40.0,Delhi
6.15,Chennai
11.25,Ahmedabad
32.0,Pune
45.62,Coimbatore
6.24,Kochi
4.8,Chennai
4.5,Chennai
3.87,Kochi
2.75,Delhi
6.57,Kochi
2.0,Jaipur
3.65,Ahmedabad
6.95,Hyderabad
5.5,Bangalore
7.0,Kolkata
24.0,Delhi
11.0,Bangalore
32.5,Bangalore
6.45,Kochi
15.75,Mumbai
5.5,Mumbai
19.03,Kochi
15.25,Kolkata
2.4,Hyderabad
2.3,Chennai
14.35,Kochi
3.5,Mumbai
11.97,Kochi
1.6,Jaipur
18.9,Ahmedabad
5.4,Ahmedabad
2.95,Hyderabad
5.1,Bangalore
1.5,Jaipur
4.9,Bangalore
2.9,Mumbai
1.15,Pune
2.3,Kolkata
5.99,Kochi
3.4,Pune
1.7,Kolkata
1.99,Kolkata
2.5,Pune
4.85,Hyderabad
2.65,Hyderabad
27.35,Kochi
6.9,Jaipur
3.5,Hyderabad
12.5,Delhi
9.2,Delhi
4.9,Mumbai
3.2,Delhi
5.55,Kochi
13.5,Ahmedabad
2.6,Kolkata
4.5,Jaipur
34.0,Delhi
12.0,Hyderabad
5.25,Mumbai
21.56,Kochi
24.68,Coimbatore
3.67,Delhi
29.5,Mumbai
3.1,Delhi
2.9,Ahmedabad
43.0,Bangalore
15.95,Mumbai
4.5,Hyderabad
3.49,Delhi
4.25,Delhi
1.9,Chennai
16.57,Mumbai
5.75,Bangalore
14.0,Delhi
2.5,Jaipur
1.2,Ahmedabad
0.85,Pune
13.95,Kochi
1.6,Chennai
3.6,Coimbatore
4.5,Mumbai
6.06,Coimbatore
5.29,Coimbatore
5.75,Jaipur
5.8,Hyderabad
5.72,Coimbatore
4.39,Kochi
11.05,Coimbatore
4.83,Delhi
2.96,Pune
4.5,Chennai
19.5,Mumbai
8.75,Mumbai
67.0,Mumbai
8.4,Kochi
4.99,Mumbai
8.18,Coimbatore
2.9,Pune
7.1,Jaipur
7.05,Pune
17.5,Pune
3.41,Mumbai
1.3,Pune
5.68,Coimbatore
4.1,Bangalore
4.0,Delhi
30.0,Hyderabad
1.8,Chennai
6.93,Kochi
70.0,Bangalore
7.9,Ahmedabad
2.78,Kochi
14.4,Chennai
13.5,Mumbai
3.15,Mumbai
2.88,Coimbatore
2.15,Kolkata
3.75,Pune
3.6,Mumbai
3.6,Kolkata
7.55,Coimbatore
4.7,Kolkata
1.6,Jaipur
3.34,Pune
9.1,Kochi
6.17,Kochi
2.5,Hyderabad
3.0,Kolkata
5.75,Jaipur
10.75,Bangalore
2.85,Jaipur
6.5,Chennai
9.45,Bangalore
6.75,Delhi
7.75,Coimbatore
4.4,Kochi
42.0,Jaipur
5.67,Kochi
11.5,Bangalore
1.69,Pune
1.8,Jaipur
3.2,Mumbai
1.5,Pune
45.86,Kochi
5.1,Hyderabad
4.85,Pune
2.4,Mumbai
22.0,Hyderabad
4.28,Delhi
5.67,Coimbatore
6.2,Bangalore
14.49,Bangalore
3.0,Pune
2.25,Jaipur
43.78,Kochi
11.45,Kochi
10.5,Delhi
7.48,Coimbatore
3.1,Coimbatore
2.55,Mumbai
3.5,Jaipur
2.59,Kolkata
5.45,Kolkata
6.0,Kolkata
15.49,Kolkata
12.5,Mumbai
4.75,Kolkata
7.85,Mumbai
6.0,Ahmedabad
4.0,Mumbai
28.75,Mumbai
2.5,Pune
5.5,Delhi
1.59,Kolkata
6.22,Mumbai
2.75,Kolkata
1.35,Chennai
25.0,Pune
2.8,Delhi
2.45,Mumbai
6.35,Pune
8.0,Mumbai
8.25,Bangalore
5.95,Mumbai
19.92,Kochi
